Position,Name,Capacity (MW),Operational Units,Region,Country,Coordinates,Latitude,Longitude,Status,Construction ,Commission,Est. Project Cost,Developer,Operator,Owner,Turbine Manufacturer ,Notes,Contact,Position2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Longyuan Rudong Intertidal,150,28,"Nantong, Jiangsu Province",China,,32.555,121.233,Operational,2011,2012,¥790m,"Jiangsu Longyuan Offshore Wind Power Co., Ltd","Jiangsu Longyuan Offshore Wind Power Co., Ltd",China Longyuan Power Group Corporation Limited,Siemens; Sinovel; various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Humber Gateway,219,73,North Sea,UK,53°38′38″N 0°17′35″E,53.644,0.293,Operational,2013,2015,£736m,E.ON Climate & Renewables,Humber Wind Ltd,E.ON Climate & Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Northwind,216,72,Vlaanderen,Belgium,51°37′08″N 02°54′03″E,51.619,2.900,Operational,,2014,€850m,Northwind NV,Parkwind NV,Parkwind; Aspiravi Holding NV; Sumitomo Corporation,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Kaskasi,210,34,,,,54.437,7.779,Planned/Under Construction,2018,N/A,,RWE Innogy,,RWE Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Westermost Rough,210,35,"North Sea, England",UK,53°48′0″N 0°9′0″E,53.805,0.149,Operational,2014,2015,£850m,DONG Energy,DONG Energy,DONG Energy; Green Investment Bank; Marubeni Corporation,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Delta Nordsee 1,210,35,North Sea,Germany,"54° 2′ 0″ N, 6° 45′ 30″ W",54.037,6.765,Planned/Under Construction,,N/A,,OWP Delta Nordsee GmbH,OWP Delta Nordsee GmbH,E.ON Climate & Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Horns Rev 2,209.3,91,North Sea,Denmark,55°36′00″N 7°35′24″E,55.600,7.582,Operational,,2009,€450m,DONG Energy,DONG Energy,DONG Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Rodsand II,207,90,Lolland,Denmark,54°33′0″N 11°42′36″E,54.555,11.548,Operational,,2010,€300m,E.ON Climate & Renewables,E.ON Climate & Renewables,E.ON Climate & Renewables; SEAS-NVE Energy Group,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Jiangsu Rudong Offshore Wind Farm,202,,"Jiangsu, Nantong",China,,32.556,121.146,Planned/Under Construction,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Hong Kong Offshore Wind Farm,201,,,Hong Kong,,22.274,114.415,Planned/Under Construction,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Rudong Offshore Demo Project,200,50,"Nantong, Jiangsu Province",China,"32°31'12""N, 121°13'41""E",32.520,121.288,Operational,,2015,¥2.9bn,"Jiangsu Longyuan Offshore Wind Power Co., Ltd","Jiangsu Longyuan Offshore Wind Power Co., Ltd",China Longyuan Power Group Corporation Limited,Siemens; Envision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Lynn & Inner Dowsing Offshore Farms,194,54,Lincolnshire,UK,53°07′39″N 00°26′10″E,53.164,0.452,Operational,2006,2009,£300m,GLID Wind Farms Topco Ltd,Centrica Renewable Energy,Blackrock Investment Management; UK Green Investment Bank,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Delta Nordsee 2,192,32,North Sea,Germany,,54.040,6.779,Planned/Under Construction,,N/A,,OWP Delta Nordsee GmbH,OWP Delta Nordsee GmbH,E.ON Climate & Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Robin Rigg,180,60,"Solway Firth, Scotland",UK,54°45′00″N 3°43′00″W,54.756,-3.710,Operational,,2010,£380m,E.ON Climate & Renewables,E.ON Climate & Renewables,E.ON Climate & Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Gunfleet Sands Wind Farm,172,48,"Clacton-on-Sea, Essex",UK,51°43′0″N 01°12′50″E,51.730,1.229,Operational,2008,2010,€525m,Gunfleet Sands Ltd (DONG Energy),Gunfleet Sands Ltd (DONG Energy),DONG Energy; Marubeni Corporation; Development Bank of Japan,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Rodsand I / Nysted,166,72,Lolland,Denmark,54°33′36″N 11°33′0″E,54.549,11.714,Operational,,2003,€300m,DONG Energy,Energi E2 (DONG Energy),DONG Energy; PensionDanmark; Stadtwerke Lübeck,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Belwind I,165,55,Bligh Bank,Belgium,51°39′36″N 02°48′0″E,51.670,2.802,Operational,2009,2010,€614m,Belwind NV,Belwind NV,Parkwind NV; Meewind; Sumitomo Corporation,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Nobelwind,165,55,Vlaanderen,Belgium,"51°31'37""N, 3°0'50""W",51.664,2.816,Planned/Under Construction,2016,2017,€655m,Nobelwind Offshore Energy,,Parkwind; Meewind; Sumitomo Corporation,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Horns Rev 1,160,80,North Sea,Denmark,55°31′47″N 7°54′22″E,55.486,7.840,Operational,,2002,€272m,DONG Energy; Vattenfall,Vattenfall,DONG Energy; Vattenfall,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Adlergrund Nordkap,155,31,Baltic Sea,Germany,,54.849,14.062,Planned/Under Construction,,N/A,,BEC- Energie Consult GmbH,,BEC- Energie Consult GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Ormonde Wind Farm,150,30,"Cumbria, Irish Sea",UK,54°6′N 3°24′W,54.088,-3.437,Operational,2010,2012,€552m,Vattenfall,Ormonde Energy Limited (Vattenfall),Vattenfall; AMF Pensionsförskäkring AB,Repower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Jiangsu Rudong ,150,58,"Rudong County, Jiangsu Province",China,30°30′14″N 121°15′36″E,32.532,121.196,Operational,2011,2012,¥700m,China Longyuan Power Group,Jiangsu Offshore Wind Power,China Longyuan Power Group (China Guodian),Siemens; Sinovel; Goldwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Trolleboda,150,30,Karlskrona,Sweden,,56.298,16.176,Planned/Under Construction,,N/A,,Vattenfall,,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Bac Lieu Extension,142,71,Bac Lieu,Vietnam,,9.219,105.792,Planned/Under Construction,2016,2018,$400m,"Cong Ly Construction-Trading-Toursim Co., Ltd.","Cong Ly Construction-Trading-Toursim Co., Ltd.","Cong Ly Construction-Trading-Toursim Co., Ltd.",GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Kentish Flats (incl. Extension),140,45,"Herne Bay, Kent, England",UK,51°27′36″N 1°5′24″E,51.460,1.093,Operational,,2005,£105m,NEG Micon,Kentish Flats Ltd,Vattenfall,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Luchterduinen,129,43,Noordwijk,Netherlands,52°24′18″N 4°09′43″E,52.405,4.162,Operational,2013,2015,€450m,Eneco; Mitsubishi,Eneco; Mitsubishi,Eneco; Mitsubishi,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Kashima Port North,125,24,Ibaraki,Japan,35°54′43″N 140°43′26″E,35.916,140.727,Operational,,,€465m,"Wind Power Energy Co., Ltd","Wind Power Energy Co., Ltd",Wind Power Group (Komatsuzaki); SB Energy Corporation; ORIX Corporation,Hitachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Princess Amalia,120,60,Egmond aan Zee,Netherlands,52°59′N 4°22′E,52.588,4.223,Operational,,2008,€383m,Eneco,Offshore Windpark Q7,Eneco,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Lillgrund,110,48,Malmö,Sweden,55°30′39'' N 12°47′56''E,55.511,12.779,Operational,,2008,€190m,Vattenfall,Vattenfall,Vattenfall,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Nordergründe,110,18,North Sea,Germany,"53°50'0""N, 8°10'0""W",53.834,8.169,Planned/Under Construction,2016,N/A,€410m,OWP Nordergründe GmbH & Co,,WPD Offshore GmbH; Gothaer Leben Renewables GmbH,Senvion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Egmond aan Zee (OWEZ),108,36,Egmond aan Zee,Netherlands,52°36′21'' N 4°25′8''E,52.606,4.419,Operational,2006,2007,€200m,NordzeeWind (Nuon; Shell Wind Energy),NordzeeWind (Nuon (Vattenfall); Shell Wind Energy),Nuon; Shell Wind Energy,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Riffgat,108,30,North Sea,Germany,53°41′24″N 6°28′48″E,53.692,6.475,Operational,2012,2014,€350m,EWE; Enova,EWE,EWE; Enova,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Donghai Bridge,102,34,Shanghai,China,30°46′12″N 121°59′38″E,30.770,121.994,Operational,,2010,¥2.3bn,Shanghai Dong Hai Wind Power Generation Company Ltd,Shanghai Dong Hai Wind Power Generation Company Ltd,China Datang Corporation; Shanghai Green Energy Co. Ltd; China Guangdong Nuclear Power Group; China Power New Energy Development Company Ltd,Sinovel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bac Lieu Offshore Wind Farm,100,62,"Bac Lieum, South China Sea",Vietnam,"9°14'10""N, 105°49'23""W",9.224,105.809,Operational,2010,2015,€244m,"Cong Ly Construction-Trading-Toursim Co., Ltd.","Cong Ly Construction-Trading-Toursim Co., Ltd.","Cong Ly Construction-Trading-Toursim Co., Ltd.",GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,SPIC Binhai North H1,100,25,"Binhai, Jiangsu Province",China,"34°24'11""N, 120°11'42""E",34.403,120.195,Planned/Under Construction,2016,2017,¥1.6bn,State Power Investment Corporation (SPIC),,State Power Investment Corporation (SPIC),Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Blyth Offshore Wind Demo Project,100,15,"Northumberland, England",UK,"55°9′58″N, 1°22′8″W",55.166,-1.369,Planned/Under Construction,,2017,£350m,EDF Energy Renewables,,EDF Energy Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Burbo Offshore Wind Farm,90,25,"Liverpool Bay, Wales",UK,53°29′N 03°10′W,53.488,-3.187,Operational,2007,2007,£181m,DONG Energy,SeaScape Energy ltd (DONG Energy),DONG Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Rhyl Flats,90,25,North Wales,UK,53°22′N 03°39′W,53.378,-3.646,Operational,2007,2009,£190m,RWE Innogy,Rhyl  Flats Wind Farm Ltd,RWE Innogy; Greencoat UK Wind PLC; UK Green Investment Bank,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Barrow Offshore Wind Farm,90,30,East Irish Sea,UK,53°59′00″N 3°17′00″W,53.991,-3.295,Operational,,2006,£123m,DONG Energy,Barrow Offshore Wind Limited,DONG Energy,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Utgrunden II,86.4,24,Mörbylånga,Sweden,,56.375,16.272,Planned/Under Construction,,N/A,,E.ON Climate & Renewables,,E.ON Climate & Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Aberdeen Offshore Wind Farm,84,11,"Aberdeen, Scotland",UK,,57.225,-1.993,Planned/Under Construction,2015,2018,£230m,Aberdeen Offshore Wind Farm Ltd,,Vattenfall; Technip; Aberdeen Renewable Energy Group,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Teesside Wind Farm,62,27,"Redcar, England",UK,54.648°N 1.095°W,54.650,-1.096,Operational,2011,2013,,"Northern Offshore Wind, Ltd (EDF)",Teesside Windfarm Ltd,EDF Energy Renewables,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Alpha Ventus Wind Park,60,12,North Sea,Germany,"54°0'30""N, 6°35'54""E",54.010,6.606,Operational,2007,2010,€250m,E.ON Climate & Renewables; EWE; Vattenfall Europe Windkraft,Deutsche Offshore-Testfeld und Infrastruktur (DOTI),E.ON Climate & Renewables; EWE; Vattenfall Europe Windkraft,Areva; REpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,North Hoyle,60,30,"Liverpool Bay, Wales",UK,53°26′N 3°24′W,53.417,-3.448,Operational,,2003,£81m,RWE Innogy,RWE Innogy,RWE Innogy,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Scroby Sands,60,30,"Great Yarmouth, Norfolk",UK,52°38′0″N 1°47′0″E,52.645,1.787,Operational,,2004,£75m,E.ON Climate & Renewables,E.ON Climate & Renewables,E.ON Climate & Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Baltic 1 ,48,21,"Daras, Baltic Sea",Germany,"54°36'32""N, 12°39'4""W",54.609,12.651,Operational,2010,2011,€200m,EnBW Baltic 1 GmbH,EnBW Baltic 1 GmbH,EnBW; Multiple municipalities own minority stakes,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Wave Hub,48,27,Cornwall,UK,50°18′40″N 5°31′30″W,50.363,-5.611,Operational,,2012,£28m,South West of England Regional Development Agency,Wave Hub Ltd,"Department for Business, Innovation and Skills",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Kårehamn,48,16,Borgholm,Sweden,56°58′48″N 17°01′12″E,56.984,17.022,Operational,,2013,€120m,E.ON Climate & Renewables,E.ON Climate & Renewables,E.ON Climate & Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Middelgrunden,40,20,Middelgrunden,Denmark,55°41′27″N 12°40′13″E,55.689,12.668,Operational,2000,2000,$60m,DONG Energy,DONG Energy; Middelgrundens Vindmollelaug,DONG Energy; Middelgrundens Vindmollelaug,Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Block Island Wind Farm,30,5,"Block Island, RI",USA,41°06′52.96″N 71°31′16.18″W,41.115,-71.521,Planned/Under Construction,2015,2017,$290m,"Deepwater Wind, LLC","Deepwater Wind, LLC","Deepwater Wind, LLC",Alstom/GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Hywind Pilot Park,30,5,"Peterhead, Scotland",UK,"57°29'2""N, 1°21'43""W",57.484,-1.362,Planned/Under Construction,2016,2017,,Hywind Limited,,Statoil,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Vindpark Vänern,30,10,Karlstad,Sweden,59°15′35″N 13°23′53″E,59.262,13.387,Operational,,2010,€58m,Vindpark Vänern,Vindpark Vänern,Kraft AB; Drift AB,Dynawind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Kemin Ajoksen,30,10,Lappi,Finland,"65°39'11""N, 24°32'35""W",65.652,24.541,Operational,,,€50m,Innopower OY,Innopower OY,Innopower OY,WinWind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Kamisu Nearshore Wind Farm,30,15,Ibaraki,Japan,35°52′55″N 140°44′9.6″E,35.908,140.717,Operational,,,,"Wind Power Energy Co., Ltd",Wind Power Group (Komatsuzaki),Wind Power Group (Komatsuzaki); Mitani Corporation,Hitachi; Subaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Arklow Bank ,25,7,"Arklow, Irish Sea",Ireland,52.789°N 5.949°W,52.790,-5.947,Operational,,,€50m,GE Energy; Acciona Energía; SSE Renewables,GE Energy,GE Energy,GE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Samsø ,23,10,Samsø ,Denmark,55°43′12″N 10°34′48″E,55.722,10.584,Operational,,2003,€30m,Samsoe Havvind,Samsoe Havvind,Samsø Municipality; Difko A/S,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Sprogø,21,7,Korsør,Denmark,55°20′24″N 10°57′36″E,55.343,10.958,Operational,,2009,,Sund & Baelt Holding A/S,Sund & Baelt Holding A/S,Sund & Baelt Holding A/S,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Eurus Akita Port Wind Farm,18,6,Akita,Japan,39°44′42″N 140°3′3.6″E,39.745,140.051,Operational,,,,Eurus Energy,Eurus Energy,Eurus Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Rønland 1,17.2,8,Thyborøn-Harboøre,Denmark,56°39′46″N 8°13′10″E,56.662,8.220,Operational,,2003,,Vindenergi Aps; Harbøre Møllelaug I/S,Vindenergi Aps; Harbøre Møllelaug I/S,Vindenergi Aps; Harbøre Møllelaug I/S,Vestas; Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Irene Vorrink Offshore Wind Farm,16.8,28,Flevoland,Netherlands,52°35′52'' N 5°35′17''E,52.598,5.588,Operational,,1996,£19m,Nuon (Vattenfall),Nuon (Vattenfall),Nuon (Vattenfall),Nordtank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Avedøre Holme,10.8,3,Hvidovre,Denmark,55°36′0″N 12°27′30″E,55.602,12.461,Operational,,2009,€25m,DONG Energy,DONG Energy,DONG Energy; Hvidovre Vindmøllelaug A/S,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Utgrunden I,10.5,7,Mörbylånga,Sweden,"56°20′38″N, 16°16′48″E",56.344,16.280,Operational,,2000,€14m,DONG Energy,,Vattenfall,Enron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Sakata,10,5,Yamagata,Japan,38°58′1″N 139°49′19″E,38.967,139.822,Operational,,,,Japan Renewable Energy Corporation,Japan Renewable Energy Corporation,Japan Renewable Energy Corporation,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Tunø Knob,5,10,Odder,Denmark,55°58′10″N 10°21′20″E,55.968,10.335,Operational,,1995,€10m,DONG Energy,SE Blue Renewables,SE Blue Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Vindeby,5,11,Ravnsborg,Denmark,54°58′12″N 11°7′48″E,54.970,11.130,Operational,,1991,€10m,SEAS-NVE Energy Group,DONG Energy,DONG Energy,Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Blyth,4,2,"Blyth, Northumberland",UK,55°08′09″N 01°29′25″W,55.136,-1.490,Operational,,2000,£4m,E.ON Climate & Renewables; Shell Renewables; Nuon UK; AMEC Wind,Blyth Offshore Wind Ltd,E.ON Climate & Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Bockstigen,2.75,5,Gotland,Sweden,57°2′9.6″N 18°8′60″E,57.036,18.150,Operational,,1998,€4m,OM O2,Nordisk Vindkraft,Momentum Gruppen A/S,Wind World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Lely,2,4,Noord-Holland,Netherlands,52°47′49″N 5°7′8″E,52.796,5.118,Operational,,1994,£4.4m,Nuon (Vattenfall),Nuon (Vattenfall),Nuon (Vattenfall),Nedwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,